ï»¿Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira;semestre;Regiao - Sigla
N;AM;ITACOATIARA;MARCOS ANTONIO DA SILVA CABRAL; 03.019.535/0002-83;AVENIDA ARMINDO AUZIER;1,448;;ARAÃJO COSTA;69100-000;DIESEL;03/05/2021;4,95;;R$ / litro;BRANCA;1º semestre;
S;RS;SAPUCAIA DO SUL;COMERCIAL DE COMBUSTIVEIS SAPUCAIA DO SUL LTDA; 28.985.204/0001-48;AVENIDA JOAO PEREIRA DE VARGAS;2561;;NOVA SAPUCAIA;93230-210;GASOLINA ADITIVADA;11/02/2021;4,779;;R$ / litro;BRANCA;1º semestre;
S;PR;SAO JOSE DOS PINHAIS;AUTO POSTO SANTA PAULINA LTDA.; 81.304.677/0001-15;RUA XV DE NOVEMBRO;2952;0;CENTRO;83005-000;GASOLINA ADITIVADA;24/02/2021;5,199;;R$ / litro;RAIZEN;1º semestre;
SE;SP;TUPA;AUTO POSTO BICHIM IV LTDA; 04.996.223/0001-01;RUA AIMORES;816;;CENTRO;17601-020;DIESEL;09/06/2021;4,509;;R$ / litro;BRANCA;1º semestre;
NE;BA;SALVADOR;TORORO POSTO DE SERVICO LTDA; 20.467.448/0001-27;AVENIDA PRESIDENTE  COSTA E SILVA;S/N;;TORORO;40050-115;GASOLINA ADITIVADA;24/03/2021;5,99;;R$ / litro;VIBRA ENERGIA;1º semestre;
SE;SP;SAO PAULO;POSTO DE SERVICOS FERNAO DIAS LTDA; 43.222.744/0001-63;RODOVIA FERNAO DIAS;S/N;KM 86;TUCURUVI;02238-000;GASOLINA;14/04/2021;5,199;;R$ / litro;RAIZEN;1º semestre;
;SP;PRAIA GRANDE;AUTO POSTO VILAMAR LTDA; 35.494.840/0001-32;AVENIDA GUADALAJARA;1330;;GUILHERMINA;11702-210;DIESEL;05/10/2021;4,679;;R$ / litro;BRANCA;2º semestre;SE
;SC;BRUSQUE;KI POSTO LTDA; 05.854.206/0001-00;AVENIDA GETULIO VARGAS;388;;CENTRO;88353-000;DIESEL S10;31/08/2021;4,59;;R$ / litro;IPIRANGA;2º semestre;S
;PE;JABOATAO DOS GUARARAPES;R C DE SOUSA; 10.599.647/0001-35;ESTRADA  DA LUZ;315;;SANTO ALEIXO;54120-050;GASOLINA ADITIVADA;02/11/2021;6,78;;R$ / litro;RAIZEN;2º semestre;NE
;PE;ARCOVERDE;IRMAOS FREIRE DE LIMA LIMITADA; 10.583.052/0001-91;AVENIDA OSVALDO CRUZ;1651;ESTRADA BR 424 KM 1       COM BR 232 KM 259;SAO CRISTOVAO;56512-670;GASOLINA ADITIVADA;05/07/2021;5,798;;R$ / litro;TEMAPE;2º semestre;NE
;GO;MINEIROS;JRT COMBUSTIVEIS LTDA; 19.850.532/0001-46;AVENIDA ANTONIO CARLOS PANIAGO;124;ESQUINA C/RUA 6;SETOR SAO BENTO;75830-002;ETANOL;02/08/2021;4,743;;R$ / litro;VIBRA ENERGIA;2º semestre;CO
S;PR;MARINGA;DIGOS CORCOVADO COMERCIO DE COMBUSTIVEIS LTDA; 02.303.813/0001-86;AVENIDA BENTO MUNHOZ DA ROCHA NETTO;621;;ZONA 07;87030-010;DIESEL S10;24/03/2021;4,49;;R$ / litro;RAIZEN;1º semestre;
;CE;FORTALEZA;COMERCIAL SUPER DE DERIVADOS DE PETRÓLEO LTDA; 05.916.454/0001-20;RUA HERIBALDO COSTA;450;;HENRIQUE JORGE;60525-190;GASOLINA;25/07/2021;5,97;;R$ / litro;ALESAT;2º semestre;NE
;MG;MURIAE;E.A.L VARGAS COMERCIO COMBUSTIVEIS EIRELI; 36.288.637/0001-72;AVENIDA ALTINO RODRIGUES PEREIRA;1345;;FRANCO SUICO;36886-160;GASOLINA ADITIVADA;05/09/2021;6,599;;R$ / litro;RAIZEN;2º semestre;SE
;SE;ARACAJU;A.C. POSTO DE COMBUSTIVEIS LTDA.; 24.642.486/0001-20;AVENIDA FRANCISCO PORTO;140;;TREZE DE JULHO;49020-120;GASOLINA ADITIVADA;23/11/2021;7,149;;R$ / litro;RAIZEN;2º semestre;NE
;SP;SANTO ANDRE;NEON AUTO POSTO LTDA; 01.796.472/0001-65;RUA ITALIA;633;;PQ. DAS NACOES;09210-040;GASOLINA ADITIVADA;02/08/2021;5,599;;R$ / litro;RAIZEN;2º semestre;SE
;SP;VINHEDO;AUTO POSTO VINHEDENSE LTDA; 72.907.850/0001-89;RUA JUNDIAI;160;;VINHEDO;13280-000;GASOLINA;10/11/2021;6,259;;R$ / litro;BRANCA;2º semestre;SE
SE;SP;TABOAO DA SERRA;AUTO POSTO EUROPA LTDA.; 04.847.983/0001-57;ESTRADA BENEDITO CESARIO DE OLIVERIA;1970;;JD. RECORD;06767-281;GASOLINA;18/05/2021;5,099;;R$ / litro;BRANCA;1º semestre;
;SP;INDAIATUBA;COMERCIAL VIHEMA LTDA; 02.500.328/0001-00;RUA ADEMAR DE BARROS;2160;;VILA GEORGINA;13333-140;ETANOL;24/08/2021;4,397;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
;PA;SANTAREM;S. & L. LTDA; 18.450.168/0001-64;AVENIDA ANISIO CHAVES;1785;;AEROPORTO VELHO;68030-290;GASOLINA ADITIVADA;27/09/2021;6,26;;R$ / litro;SABBÁ;2º semestre;N
;MA;IMPERATRIZ;POSTO SANTA TEREZA LTDA; 06.498.638/0001-80;ROD.BR 010;S/N;KM 1353;COCO GRANDE;65903-390;DIESEL;18/08/2021;4,589;;R$ / litro;SABBÁ;2º semestre;NE
;RJ;RIO DE JANEIRO;AUTO POSTO PARADA DE BANGU LTDA; 29.615.923/0001-30;RUA RANGEL PESTANA;34;E 48 C/ ENTRADA           SUPLEMENTAR NA RUA        DA FEIRA 119 E 131;BANGU;21820-040;GASOLINA;17/08/2021;6,599;;R$ / litro;RAIZEN;2º semestre;SE
CO;GO;FORMOSA;FACE COMBUSTIVEIS - LTDA; 03.528.587/0001-02;AVENIDA TANCREDO NEVES;650;;SETOR BOSQUE;73802-005;ETANOL;06/06/2021;4,689;;R$ / litro;RAIZEN;1º semestre;
;SP;PIRASSUNUNGA;TERNG LEE HUA; 06.131.760/0001-14;AVENIDA CAP. ANTONIO JOAQUIM MENDES;662;;JD CARLOS GOMES;13633-030;GASOLINA;02/08/2021;5,6;;R$ / litro;BRANCA;2º semestre;SE
N;AC;RIO BRANCO;D. B. DE SOUSA EIRELI; 11.429.349/0001-60;AVENIDA CEARA;2,767;LOJA  5;ABRAAO ALAB;69907-000;ETANOL;02/03/2021;4,71;;R$ / litro;EQUADOR;1º semestre;
NE;CE;FORTALEZA;M. LUZ COMERCIO DE COMBUSTIVEIS LTDA; 08.912.686/0001-07;RODOVIA BR 116;9310;LOJA 06;BARROSO;60850-015;ETANOL;18/04/2021;4,47;;R$ / litro;BRANCA;1º semestre;
;SP;BRAGANCA PAULISTA;POSTO DOM PEDRO BRAGANCA URBANO LTDA; 55.928.337/0001-55;RUA CEL DANIEL PELUSO;541;;MATADOURO;12900-005;DIESEL S10;02/09/2021;4,499;;R$ / litro;BRANCA;2º semestre;SE
SE;RJ;RIO DE JANEIRO;POSTO DE ABASTECIMENTO GALLENA LAGOA LTDA.; 11.398.725/0001-04;AVENIDA EPITACIO PESSOA;1354;;IPANEMA;22411-072;DIESEL S10;28/03/2021;4,47;;R$ / litro;IPIRANGA;1º semestre;
S;PR;CURITIBA;AUTO POSTO SOL LEVANTE LTDA; 79.173.639/0001-29;RUA TRAJANO REIS;614;;SAO FRANCISCO;80510-220;GASOLINA;14/03/2021;5,299;;R$ / litro;BRANCA;1º semestre;
SE;RJ;NITEROI;POSTO VIP GAVIAO EIRELI; 31.002.811/0001-55;RUA GAVIAO PEIXOTO;360;;ICARAI;24230-103;GASOLINA ADITIVADA;16/05/2021;6,099;;R$ / litro;IPIRANGA;1º semestre;
SE;RJ;MACAE;POSTO TITAN DE MACAE LTDA; 05.374.546/0001-26;ESTRADA L;S/N;SÃTIO DA SERRA;NOVO CAVALEIROS;27930-070;GASOLINA ADITIVADA;23/06/2021;6,55;;R$ / litro;VIBRA ENERGIA;1º semestre;
N;AM;MANAUS;POSTO DISTRITO COMERCIO DE COMBUSTIVEIS LTDA; 21.185.520/0002-77;AVENIDA AUTAZ MIRIM;3740;;ZUMBI DOS PALMARES;69084-005;GASOLINA;27/04/2021;5,499;;R$ / litro;ATEM' S;1º semestre;
;SP;MAUA;AUTO POSTO CAPITAO LTDA; 57.600.595/0001-33;AVENIDA CAPITÃO JOÃO;516;;CENTRO;09360-120;GASOLINA;22/12/2021;6,298;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
S;RS;SAPUCAIA DO SUL;ABASTECEDORA DE COMBUSTIVEL NOVA SAPUCAIA LTDA; 27.860.613/0001-55;AVENIDA CORONEL THEODOMIRO PORTO DA FONSECA;885;QUADRA01                  SETOR 04H21;NOVA SAPUCAIA;93226-343;DIESEL;12/05/2021;4,199;;R$ / litro;IPIRANGA;1º semestre;
SE;SP;SANTO ANDRE;NEON AUTO POSTO LTDA; 01.796.472/0001-65;RUA ITALIA;633;;PQ. DAS NACOES;09210-040;GASOLINA ADITIVADA;14/06/2021;5,499;;R$ / litro;RAIZEN;1º semestre;
SE;SP;FRANCA;POSTO JARDIM ALVORADA DE FRANCA LTDA; 00.920.332/0001-94;RUA REINALDO CHIOCA;1883;;JARDIM ALVORADA;14403-085;GASOLINA ADITIVADA;26/04/2021;5,459;;R$ / litro;BRANCA;1º semestre;
;RJ;SAO GONCALO;A.P.J. ALCANTARA COMERCIO DE COMBUSTIVEIS LTDA; 07.590.758/0001-76;RUA JOVELINO DE OLIVEIRA VIANNA;410;;ALCANTARA;24710-470;GASOLINA ADITIVADA;18/07/2021;6,199;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
;CE;LIMOEIRO DO NORTE;R T COMBUSTIVEIS EIRELI; 29.983.652/0005-07;RUA MANFREDO DE OLIVEIRA;1011;;SANTA LUZIA;62930-000;GASOLINA ADITIVADA;09/11/2021;7,149;;R$ / litro;BRANCA;2º semestre;NE
;SP;SAO PAULO;SOMBRA DA PAINEIRA AUTO POSTO LTDA; 43.620.491/0001-86;AVENIDA MAL TITO;1936;;SAO MIGUEL PAULISTA;08210-040;GASOLINA ADITIVADA;15/07/2021;5,299;;R$ / litro;BRANCA;2º semestre;SE
;SP;ASSIS;AUTO POSTO ROTATORIA SAO FRANCISCO LTDA; 13.504.817/0001-49;AVENIDA RUI BARBOSA;2065;;JARDIM PAULISTA;19816-000;ETANOL;15/08/2021;4,599;;R$ / litro;RAIZEN;2º semestre;SE
;MS;CAMPO GRANDE;POSTO VIA NORTE LTDA; 20.025.135/0002-08;RUA RUI BARBOSA;1263;;CENTRO;79004-430;GASOLINA ADITIVADA;21/10/2021;6,289;;R$ / litro;VIBRA ENERGIA;2º semestre;CO
S;PR;CAMPO MOURAO;MAX CAMP AUTO POSTO LTDA; 09.325.715/0001-99;RUA PITANGA;331;;CENTRO;87301-060;ETANOL;10/05/2021;4,14;;R$ / litro;BRANCA;1º semestre;
SE;MG;UBERLANDIA;CAMARU COMERCIO DE COMBUSTIVEIS LTDA; 34.023.027/0001-11;RUA JURACY JUNQUEIRA REZENDE;121;;PAMPULHA;38408-656;GASOLINA;29/03/2021;5,55;;R$ / litro;VIBRA ENERGIA;1º semestre;
;PE;PAULISTA;POSTO SHOPING LTDA; 04.198.744/0001-13;RODOVIA PE  15;120;;ARTHUR LUNDGREN;53416-150;DIESEL S10;06/12/2021;5,39;;R$ / litro;FEDERAL ENERGIA;2º semestre;NE
;RS;GUAIBA;ABASTECEDORA DE COMBUSTIVEIS RIOXEL LTDA; 03.358.858/0008-97;RUA BARRA DO RIBEIRO;211;;COLUMBIA CITY;92500-000;GASOLINA;23/11/2021;6,99;;R$ / litro;IPIRANGA;2º semestre;S
;CE;JUAZEIRO DO NORTE;AZUL ENTULHOS - COLETA DE RESIDUOS LTDA; 21.774.287/0002-68;RUA SEBASTIAO PALMEIRA;235;;PEDRINHAS;63018-135;DIESEL S10;09/11/2021;5,709;;R$ / litro;RAIZEN;2º semestre;NE
S;PR;UMUARAMA;RJF2 COMBUSTIVEIS E CONVENIENCIAS DE UMUARAMA LTDA; 31.063.836/0001-69;AVENIDA GUARANI;2252;;ZONA IV;87504-030;GASOLINA;18/04/2021;5,29;;R$ / litro;BRANCA;1º semestre;
N;PA;ALENQUER;A L VIEIRA DA SILVA - EPP; 14.156.566/0001-11;ESTRADA PAES DE CARVALHO;S/N;;PLANALTO;68200-000;DIESEL S10;11/05/2021;5,2;;R$ / litro;EQUADOR;1º semestre;
SE;SP;SANTA BARBARA D'OESTE;MENPHIS COMERCIO DE COMBUSTIVEIS LTDA; 59.676.015/0001-17;RUA TUPIS;1495;;JD SAO FRANCISCO;13456-033;ETANOL;08/06/2021;4,097;;R$ / litro;BRANCA;1º semestre;
NE;CE;FORTALEZA;POSTO GUARACI LTDA; 34.959.478/0001-65;PRACA GUSTAVO BARROSO;S N;;JACARECANGA;60010-700;GASOLINA ADITIVADA;27/06/2021;5,925;;R$ / litro;VIBRA ENERGIA;1º semestre;
SE;SP;BARRETOS;SOBERANO AUTO POSTO LTDA; 05.118.231/0001-18;RUA 4;174;;SAO JORGE;14780-717;ETANOL;13/01/2021;2,999;;R$ / litro;BRANCA;1º semestre;
;GO;FORMOSA;WINNER COMERCIO DE COMBUSTIVEIS LTDA; 09.029.375/0002-30;AVENIDA BRASILIA;368;;FORMOSINHA;73813-010;GASOLINA;01/11/2021;7,207;;R$ / litro;RAIZEN;2º semestre;CO
SE;SP;ARACATUBA;AMERICA CENTRO DE ABASTECIMENTO DE COMBUSTIVEIS LTDA; 09.356.317/0001-30;RUA EDGAR JARDIM BASTOS;48;;JARDIM NOVA IORQUE;16018-410;GASOLINA;09/03/2021;5,299;;R$ / litro;IPIRANGA;1º semestre;
SE;SP;CARAPICUIBA;BOX 44 POSTO E SERVIÃOS LTDA.; 06.125.069/0001-28;AVENIDA INOCÃNCIO SERÃFICO;2660;;VILA SILVIANIA;06380-021;DIESEL S10;27/04/2021;4,299;;R$ / litro;RAIZEN;1º semestre;
;BA;FEIRA DE SANTANA;A.S. DERIVADOS DE PETROLEO LTDA; 08.348.990/0001-65;RUA ITAUEIRA;444;TERREO;PARQUE GETULIO VARGAS;44065-610;DIESEL S10;31/08/2021;4,56;;R$ / litro;RAIZEN;2º semestre;NE
SE;SP;ITAQUAQUECETUBA;DAVO SUPERMERCADOS LTDA; 52.130.481/0023-69;AVENIDA ITALO ADAMI;1809;"LETRA: B;";VILA ZEFERINA;08573-000;GASOLINA ADITIVADA;05/05/2021;5,399;;R$ / litro;IPIRANGA;1º semestre;
N;AC;RIO BRANCO;AUTO POSTO PARATI LTDA; 34.697.730/0001-05;RUA   ISAURA PARENTE;434;;ISAURA PARENTE;69918-340;GASOLINA ADITIVADA;30/03/2021;6,3;;R$ / litro;SABBÃ;1º semestre;
;MG;SAO SEBASTIAO DO PARAISO;SAMAMBAIA AUTO POSTO LTDA; 17.618.091/0001-26;AVENIDA MONSENHOR MANCINI;S/N;;VIDA DALVA;37950-000;GASOLINA;09/08/2021;6,499;;R$ / litro;IPIRANGA;2º semestre;SE
;SP;SAO PAULO;AUTO POSTO BOXTER PARQUE NOVO MUNDO LTDA; 21.021.038/0001-10;RUA CABO OSCAR ROSSINI;996;;PARQUE NOVO MUNDO;02186-030;DIESEL;26/08/2021;4,349;;R$ / litro;BRANCA;2º semestre;SE
;MT;VARZEA GRANDE;POSTO 10 LIMITADA; 03.244.374/0003-02;AVENIDA COUTO MAGALHAES;2561;;CENTRO;78110-400;ETANOL;21/07/2021;3,899;;R$ / litro;VIBRA ENERGIA;2º semestre;CO
;CE;FORTALEZA;A M COMERCIAL DE PETROLEO LTDA; 35.031.996/0001-87;AVENIDA GAL OSORIO DE PAIVA;2450;;PARANGABA;60720-001;DIESEL S10;29/11/2021;5,69;;R$ / litro;VIBRA ENERGIA;2º semestre;NE
NE;BA;ILHEUS;ATLANTICO COM VAREJISTA DE COMBUSTIVEIS EIRELI; 23.815.289/0001-00;AVENIDA RAYMUNDO SA BARRETO;S/N;KM    2 5;JARDIM SAVOIA;45658-250;GASOLINA ADITIVADA;02/03/2021;5,799;;R$ / litro;RAIZEN;1º semestre;
;MT;CUIABA;LIDERGÁS TRANSPORTE, COMÉRCIO E DISTRIBUIDORA  LTDA.; 73.725.517/0002-00;AVENIDA COXIPO MIRIM;240;;NOVO HORIZONTE;78055-840;GASOLINA ADITIVADA;07/09/2021;6,299;;R$ / litro;BRANCA;2º semestre;CO
;RS;ESTEIO;GC COMERCIO DE COMBUSTIVEIS LTDA; 15.048.833/0001-08;AVENIDA LUIZ PASTEUR;1893;LOTE  03;PARQUE TAMANDARE;93260-360;GASOLINA;09/12/2021;6,839;;R$ / litro;BRANCA;2º semestre;S
;SP;ATIBAIA;AUTO POSTO CANOA LTDA; 02.037.736/0001-60;AVENIDA PREF. ANTONIO JULIO T. GARCIA LOPES;1162;;JARDIM CEREJEIRAS;12951-270;DIESEL S10;10/11/2021;5,189;;R$ / litro;BRANCA;2º semestre;SE
;RO;VILHENA;AUTO POSTO TAFFAREL LTDA - ME; 11.323.517/0001-38;AV: JO SATO;605;;JARDIM AMERICA;76980-000;GASOLINA;29/07/2021;5,989;;R$ / litro;IPIRANGA;2º semestre;N
SE;SP;CAMPINAS;CENTRO AUTOMOTIVO RIVIERA CAMPINAS EIRELI; 06.093.114/0001-00;RUA ROMUALDO ANDREAZZI;430;.;JARDIM LEONOR;13041-030;GASOLINA ADITIVADA;17/05/2021;5,299;;R$ / litro;BRANCA;1º semestre;
;PR;UNIAO DA VITORIA;AUTO POSTO VERENKA 06 LTDA; 19.225.511/0001-30;RUA SALGADO FILHO;927;;CENTRO;84600-010;ETANOL;01/12/2021;5,55;;R$ / litro;BRANCA;2º semestre;S
SE;RJ;NOVA IGUACU;POSTO DE GASOLINA VASCO GAMA SOARES LTDA; 04.590.222/0001-62;ESTRADA ADRIANOPOLIS;2560;2600;BOTAFOGO;26210-000;ETANOL;01/03/2021;4,999;;R$ / litro;ALESAT;1º semestre;
;RS;SAO LEOPOLDO;PHOENIX II COMERCIO DE COMBUSTIVEIS LTDA; 25.137.101/0001-30;AVENIDA JOAO CORREA;1380;;FIAO;93020-588;GASOLINA ADITIVADA;30/09/2021;6,199;;R$ / litro;RAIZEN;2º semestre;S
;SP;CATANDUVA;IGNOTTI COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA; 43.745.967/0001-05;AVENIDA COMENDADOR ANTONIO STOCCO;100;;PARQUE JOAQUIM LOPES;15800-610;DIESEL S10;25/10/2021;4,999;;R$ / litro;BRANCA;2º semestre;SE
;SP;TABOAO DA SERRA;AUTO POSTO DAS OLIVEIRAS KM 274 LTDA; 73.090.169/0001-53;RODOVIA REGIS BITTENCOURT;4551;KM 274;VILA SALETE;06793-100;DIESEL S10;29/11/2021;5,399;;R$ / litro;BRANCA;2º semestre;SE
;AL;MACEIO;AUTO POSTO AMELIA ROSA LTDA; 12.605.987/0001-57;AVENIDA DR ANTONIO GOMES DE BARROS;476;AO LADO DA                PRESENTARIA;JATIUCA;57036-000;GASOLINA;13/12/2021;6,549;;R$ / litro;VIBRA ENERGIA;2º semestre;NE
;SP;BARUERI;AUTOPOSTO  MACKENZIE LTDA; 27.547.537/0001-22;AVENIDA TUCUNARE;1498;;TAMBORE;06460-020;GASOLINA;16/12/2021;6,599;;R$ / litro;RAIZEN;2º semestre;SE
;RJ;SAQUAREMA;AUTO POSTO BACAXA SAQUAREMA LTDA; 40.161.465/0001-49;AVENIDA SAQUAREMA;4406;;PORTO DA ROCA;28990-001;GASOLINA ADITIVADA;16/11/2021;7,599;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
NE;BA;SALVADOR;RODRIGUES TORRES COMERCIO E DERIVADOS DE PETROLEO LTDA; 73.413.601/0004-42;AVENIDA GARIBALDI;1291;;ONDINA;40170-130;ETANOL;02/06/2021;4,85;;R$ / litro;BRANCA;1º semestre;
NE;AL;ARAPIRACA;AUTO POSTO SAO FRANCISCO LTDA; 12.706.529/0001-04;RUA SAO FRANCISCO;274;;CENTRO;57300-080;ETANOL;16/06/2021;4,99;;R$ / litro;VIBRA ENERGIA;1º semestre;
;SP;CRUZEIRO;POSTO 3 ABASTECIMENTO DE COMBUSTIVEIS LTDA; 18.339.634/0001-39;AVENIDA GOVERNADOR JANIO QUADROS;389;;DOUTOR JOAO BATISTA;12720-000;ETANOL;18/10/2021;4,799;;R$ / litro;BRANCA;2º semestre;SE
;PR;PINHAIS;AUTO POSTO TISSU LTDA; 03.076.446/0001-98;RUA APUCARANA;769;;VL. EMILIANO PERNETA;83324-000;DIESEL;06/07/2021;4,259;;R$ / litro;BRANCA;2º semestre;S
SE;RJ;CABO FRIO;A O LESSA LTDA; 04.212.308/0001-51;AVENIDA TEIXEIRA E SOUZA;S/N;;VILA NOVA;28907-410;ETANOL;27/05/2021;5,79;;R$ / litro;RAIZEN;1º semestre;
SE;MG;BETIM;POSTO PANAMERA LTDA; 15.313.045/0001-93;AVENIDA BANDEIRANTES;1155;;CHACARA;32670-355;GASOLINA ADITIVADA;07/03/2021;5,625;;R$ / litro;VIBRA ENERGIA;1º semestre;
N;RO;PIMENTA BUENO;POSTO CARLOS GOMES LTDA - EPP; 14.344.156/0001-02;RUA CARLOS GOMES;221;;VILA NOVA;76970-000;DIESEL S10;06/06/2021;4,82;;R$ / litro;IPIRANGA;1º semestre;
CO;DF;BRASILIA;AUTO POSTO ESPLANADA LTDA; 00.365.320/0001-45; QS 05 RUA 800;S/N;LOTES 44/46;TAGUATINGA;71920-540;DIESEL;03/03/2021;4,399;;R$ / litro;IPIRANGA;1º semestre;
SE;RJ;SAQUAREMA;VERTICE DE SAQUAREMA AUTO POSTO LTDA; 08.000.653/0001-82;RUA PROFESSOR SOUZA;777;;BACAXA;28993-000;DIESEL;10/03/2021;4,299;;R$ / litro;BRANCA;1º semestre;
;PR;CASCAVEL;COMERCIO DE COMBUSTIVEIS ESTRELA DOURADA LTDA; 72.224.629/0001-26;RUA JORGE LACERDA;2528;;CANCELLI;85811-350;DIESEL S10;14/09/2021;4,54;;R$ / litro;BRANCA;2º semestre;S
S;RS;BAGE;F.F.STAEVIE COMBUSTIVEIS LTDA; 05.757.241/0003-65;AVENIDA JOSE DO PATROCINIO;298;;SAO JUDAS;96415-500;GASOLINA ADITIVADA;14/04/2021;6,696;;R$ / litro;VIBRA ENERGIA;1º semestre;
;CE;MARACANAU;SILVEIRA PETROLEO LTDA; 02.349.905/0001-05;AVENIDA OSORIO DE PAIVA;8003;;SIQUEIRA II;61901-410;DIESEL S10;08/07/2021;4,69;;R$ / litro;BRANCA;2º semestre;NE
SE;MG;UBERLANDIA;AUTO POSTO VIEIRA E MARTINS LTDA; 05.072.757/0001-04;AVENIDA JOAO NAVES DE AVILA;7,066;A;SANTA MONICA;38408-680;DIESEL;24/05/2021;4,579;;R$ / litro;BRANCA;1º semestre;
SE;SP;PIRASSUNUNGA;COOPERCITRUS COOPERATIVA DE PRODUTORES RURAIS; 45.236.791/0094-90;RUA SIQUEIRA CAMPOS;3996;;CENTRO;13631-018;DIESEL;12/04/2021;4,159;;R$ / litro;IPIRANGA;1º semestre;
;SP;RIO CLARO;AUTO POSTO CEU AZUL DE RIO CLARO LTDA; 10.603.724/0001-83;AVENIDA 5;167;;CENTRO;13500-380;DIESEL S10;16/11/2021;5,199;;R$ / litro;IPIRANGA;2º semestre;SE
SE;ES;VITORIA;POSTO SANTA RITA LTDA; 33.457.341/0001-40;AVENIDA FERNANDO FERRARI;3227;;JABOUR;29072-260;DIESEL S10;02/05/2021;4,199;;R$ / litro;IPIRANGA;1º semestre;
;RJ;BARRA MANSA;POSTO DE ABASTECIMENTO DE COMBUSTIVEIS VILA NOVA LTDA; 28.271.195/0001-23;RUA MAJOR JOSE BENTO;2137;;VILA NOVA;27320-712;DIESEL S10;29/07/2021;4,799;;R$ / litro;ALESAT;2º semestre;SE
;PI;TERESINA;ALENCAR  & RIBEIRO PETROLEO LTDA; 26.770.375/0001-24;AVENIDA BARAO DE GURGUEIA;1852;;VERMELHA;64018-290;ETANOL;16/11/2021;5,99;;R$ / litro;SABBÁ;2º semestre;NE
SE;SP;HORTOLANDIA;POSTO ABBA LTDA; 14.320.234/0001-20;AVENIDA JOAO COELHO;305;;CHACARA FAZENDA COELHO;13185-000;GASOLINA;27/01/2021;4,279;;R$ / litro;BRANCA;1º semestre;
;ES;LINHARES;AUTO POSTO E SERVICOS BNH LTDA; 07.584.368/0001-93;AVENIDA PRESIDENTE CAFE FILHO;SN;QUADRA 351-A;NOVO HORIZONTE;29902-400;GASOLINA ADITIVADA;06/09/2021;6,45;;R$ / litro;RAIZEN;2º semestre;SE
SE;RJ;SAO GONCALO;AUTO POSTO MONTEIROS DE SAO GONCALO LTDA; 22.043.273/0001-56;RUA DOUTOR NILO PECANHA;678;;ESTRELA DO NORTE;24450-000;ETANOL;17/03/2021;5,499;;R$ / litro;VIBRA ENERGIA;1º semestre;
;RJ;VOLTA REDONDA;POSTO BARBARA LTDA; 32.489.114/0001-33;VIA SERGIO BRAGA;1070;;PONTE ALTA;27265-601;DIESEL S10;29/11/2021;5,259;;R$ / litro;BRANCA;2º semestre;SE
S;PR;CURITIBA;AUTO POSTO NILO CAIRO LTDA; 86.851.425/0001-20;RUA TIBAGI;652;;CENTRO;80060-110;DIESEL;15/02/2021;3,499;;R$ / litro;BRANCA;1º semestre;
CO;GO;APARECIDA DE GOIANIA;AUTO POSTO NORTE SUL LTDA; 27.677.959/0001-12;AVENIDA W 1;SN;ESQUINA COM X-10    QUADRA11                  LOTE  040506;SITIOS SANTA LUZIA;74922-460;DIESEL S10;29/06/2021;4,599;;R$ / litro;RAIZEN;1º semestre;
S;RS;GRAVATAI;REDE DE POSTOS APOLO LTDA; 09.164.791/0001-60;RUA SAO LUIZ;35;;PARQUE OLINDA;94065-250;DIESEL;03/03/2021;3,969;;R$ / litro;IPIRANGA;1º semestre;
;PI;TERESINA;CACIQUE PETROLEO LTDA; 06.656.656/0022-78;AVENIDA DEPUTADO PAULO FERRAZ;1910;;TANCREDO NEVES;64076-005;ETANOL;17/11/2021;5,577;;R$ / litro;IPIRANGA;2º semestre;NE
;SP;ITAPETININGA;AUTO POSTO PAQUETA LTDA; 03.228.739/0001-43;AVENIDA WALDOMIRO DE CARVALHO;292;;VILA RIO BRANCO;18209-110;ETANOL;26/10/2021;5,199;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
;PE;GARANHUNS;SETE COLINAS COMBUSTIVEIS LTDA; 04.214.720/0001-00;RUA MELO PEIXOTO;280;;SANTO ANTÔNIO;55293-190;DIESEL S10;29/09/2021;4,95;;R$ / litro;VIBRA ENERGIA;2º semestre;NE
;MT;ALTA FLORESTA;PETRA - COMERCIO DE DERIVADOS DE PETROLEO LTDA; 03.498.002/0001-40;AVENIDA AYRTON SENNA;630;SETOR NORTE 1             LOTE  01                  QUADRA02;BOM JESUS;78580-000;ETANOL;12/07/2021;4,49;;R$ / litro;SIMARELLI;2º semestre;CO
;SP;INDAIATUBA;AUTO POSTO SAO PAULO LIMITADA; 49.446.370/0001-46;RUA 11 DE JUNHO;1071;;CENTRO;13347-460;DIESEL;25/07/2021;4,599;;R$ / litro;BRANCA;2º semestre;SE
