ï»¿Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira;semestre;Regiao - Sigla
;MG;GOVERNADOR VALADARES;LESTE MINAS COMBUSTIVEIS LTDA; 28.941.498/0001-06;RUA MATHIAS LOBATO;60;;CIDADE NOVA;35063-010;ETANOL;22/09/2021;4,69;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
S;SC;ARARANGUA;COMERCIAL MAZZUCO LTDA; 82.566.944/0001-95;ALAMEDA ANTONIO ALVES DA SILVA;1500;;JARDIM CIBELI;88901-190;GASOLINA ADITIVADA;30/06/2021;5,569;;R$ / litro;VIBRA ENERGIA;1º semestre;
NE;BA;FEIRA DE SANTANA;PETROMASA DERIVADOS DE PETROLEO LIMITADA; 14.337.638/0001-27;AVENIDA PRESIDENTE DUTRA;428;A;PILAO;44001-544;GNV;13/04/2021;3,09;;R$ / mÂ³;BRANCA;1º semestre;
;PI;TERESINA;SOFERRO COMBUSTIVEIS LTDA; 18.041.477/0001-80;AVENIDA JOAQUIM NELSON;1300;;DIRCEU;64078-225;DIESEL;24/08/2021;4,861;;R$ / litro;BRANCA;2º semestre;NE
;RS;ESTEIO;GV COMERCIAL DE COMBUSTIVEIS LTDA; 09.405.773/0001-22;RUA NOVO HAMBURGO;1020;;PARQUE AMADOR;93280-300;DIESEL S10;02/11/2021;4,999;;R$ / litro;BRANCA;2º semestre;S
;PI;TERESINA;DIVINO PETROLEO EIRELI; 26.434.759/0001-76;RUA ANTONIO VIANA (N SRA GUIA);2129;QUADRAG                   LOTE  01;BEIRA RIO;64075-505;ETANOL;20/12/2021;5,59;;R$ / litro;VIBRA ENERGIA;2º semestre;NE
;SP;SUMARE;GOLDEN SUMARE AUTO POSTO LTDA; 11.967.543/0001-07;AVENIDA UM;5985;;JARDIM NOVA TERRA (NOVA VENEZA);13179-060;GASOLINA ADITIVADA;13/09/2021;5,759;;R$ / litro;BRANCA;2º semestre;SE
;PA;ANANINDEUA;POSTO IRMAS MARTINI COMERCIO VAREJISTA DE COMBUSTIVEIS LTDA; 24.322.862/0002-80;RODOVIA TRANSCOQUEIRO;55;B;COQUEIRO;67113-345;GASOLINA;17/11/2021;6,699;;R$ / litro;SABBÁ;2º semestre;N
CO;GO;GOIANIA;MAMMUT COMBUSTIVEIS LTDA; 27.434.726/0001-99;AVENIDA VERA CRUZ;1867;QUADRA120                 LOTE  1/3;JD GUANABARA;74675-830;GASOLINA ADITIVADA;27/05/2021;5,99;;R$ / litro;BRANCA;1º semestre;
;SP;OURINHOS;M.N. COMERCIO DE DERIVADOS DE PETROLEO OURINHOS LTDA; 02.585.224/0001-38;AVENIDA JACINTO FERREIRA DE SA;831;;VILA PERINO;19911-721;GASOLINA;24/11/2021;6,499;;R$ / litro;BRANCA;2º semestre;SE
;MG;MONTE CARMELO;AUTO POSTO AGUA LIMPA LTDA; 30.057.296/0001-48;AVENIDA XV DE NOVEMBRO;768;;BOA VISTA;38500-000;DIESEL S10;18/11/2021;5,559;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
NE;BA;ILHEUS;MS DERIVADOS DE PETROLEO ILHEUS LTDA; 22.945.416/0001-15;AVENIDA UBAITABA ATE 628;713;;MALHADO;45651-520;GASOLINA;27/06/2021;6,079;;R$ / litro;BRANCA;1º semestre;
S;RS;SAO LEOPOLDO;SAGRES COMERCIO DE COMBUSTIVEIS LTDA; 89.774.699/0002-31;AVENIDA UNISINOS;355;;PADRE REUS;93020-175;GASOLINA;25/02/2021;5,249;;R$ / litro;BRANCA;1º semestre;
;MG;UBERLANDIA;MP AUTO POSTO COMERCIO DE DERIVADOS DE PETROLEO LTDA.; 11.913.793/0001-56;RUA PADRE AMERICO CEPPI;398;;BRASIL;38400-672;DIESEL;08/11/2021;5,359;;R$ / litro;VIBRA ENERGIA;2º semestre;SE
SE;SP;CAMPINAS;POSTO CAFE BRASIL LTDA; 01.627.158/0001-59;AVENIDA DR ANTONIO C C BARROS;2337;;JD. CONCEICAO;13024-500;GASOLINA;22/02/2021;4,997;;R$ / litro;BRANCA;1º semestre;
;MT;CUIABA;COMERCIAL DE COMBUSTIVEIS SANTA EDWIGES LTDA; 01.877.629/0001-87;AVENIDA HIST. RUBENS DE MENDONCA;119;ESQ. C/ AVE. ALENKER;CPA I;78055-000;DIESEL S10;09/12/2021;5,799;;R$ / litro;VIBRA ENERGIA;2º semestre;CO
NE;SE;NOSSA SENHORA DO SOCORRO;A. C. DERIVADOS DE PETROLEO LTDA; 11.439.151/0001-67;RODOVIA BR 101;S/N;KM    89;PALESTINA;49160-000;DIESEL;16/06/2021;4,529;;R$ / litro;RAIZEN;1º semestre;
;SP;SAO JOSE DO RIO PRETO;POSTO ATARUMIN DE SAO JOSE DO RIO PRETO LTDA.; 05.105.805/0001-13;AVENIDA DOUTOR ERNANI PIRES DOMINGUES;1850;;ELDORADO;15043-180;ETANOL;24/11/2021;4,949;;R$ / litro;RAIZEN;2º semestre;SE
;RJ;DUQUE DE CAXIAS;JOFEMAL ORGANIZACAO DE POSTOS DE SERVICOS LTDA; 29.308.111/0001-41;RODOVIA WASHINGTON LUIZ;5750;;JARDIM GRAMACHO;25055-009;GASOLINA;21/09/2021;6,496;;R$ / litro;BRANCA;2º semestre;SE
SE;MG;ITUIUTABA;POSTO VITORIA JUNQUEIRA EIRELI; 26.157.425/0004-45;RUA TRINTA E TRES;121;;SETOR SUL;38300-030;DIESEL S10;09/03/2021;4,14;;R$ / litro;BRANCA;1º semestre;
SE;SP;SAO JOSE DO RIO PRETO;AUTO POSTO COLLA & SILVA LTDA; 05.242.195/0001-08;AVENIDA ALFREDO ANTONIO DE OLIVEIRA;2685;;JD. PLANALTO;15046-600;GASOLINA;01/02/2021;4,579;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.;1º semestre;
;MT;RONDONOPOLIS;RODEP COMERCIO DE COMBUSTIVEL E TRANSPORTE LTDA; 08.490.193/0001-18;RODOVIA BR 364;S/N;KM 206,5;AREAS PERIFERICAS;78750-181;DIESEL;21/12/2021;5,429;;R$ / litro;VIBRA ENERGIA;2º semestre;CO
;SP;SAO PAULO;AUTO POSTO CASA NOVA LTDA; 48.926.448/0001-67;AVENIDA DO ORATORIO;1,892;;VILA INDEPENDENCIA;03220-000;DIESEL S10;21/12/2021;5,299;;R$ / litro;RAIZEN;2º semestre;SE
;CE;FORTALEZA;VM FERNANDES COMÉRCIO DE COMBUSTÍVEIS LTDA; 02.756.334/0003-87;AVENIDA DOS EXPEDICIONÁRIOS;9977;;ITAPERI;60410-411;GASOLINA;25/07/2021;5,99;;R$ / litro;VIBRA ENERGIA;2º semestre;NE
;SC;SAO JOSE;AUTO POSTO ULY LTDA; 23.830.526/0001-02;RUA IMBITUBA;130;;BELA VISTA;88110-350;GASOLINA ADITIVADA;17/08/2021;5,999;;R$ / litro;IPIRANGA;2º semestre;S
;SP;BIRIGUI;AUTO POSTO BICHIM II LTDA; 00.733.530/0001-49;RUA TUPI;879;;VILA GIAMPIETRO;16200-000;ETANOL;15/07/2021;3,999;;R$ / litro;BRANCA;2º semestre;SE
SE;SP;CUBATAO;AUTO POSTO CUBATAO LTDA; 47.498.829/0001-20;AVENIDA NOVE DE ABRIL;1845;;CENTRO;11510-000;GASOLINA ADITIVADA;11/05/2021;5,999;;R$ / litro;RAIZEN;1º semestre;
;GO;RIO VERDE;POSTO 7 LTDA; 00.893.669/0001-50;AVENIDA PRESIDENTE VARGAS;503;;JARDIM PRESIDENTE;75908-420;GASOLINA;06/12/2021;7,19;;R$ / litro;IPIRANGA;2º semestre;CO
